image_name,label,score
000008.jpg,2,0.95
000017.jpg,0,0.99
000020.jpg,2,0.95
000022.jpg,2,0.97
000025.jpg,0,0.92
000028.jpg,0,0.96
000029.jpg,0,0.97
000030.jpg,0,0.99
000035.jpg,1,0.9
000036.jpg,2,0.92
000040.jpg,0,0.98
000043.jpg,0,0.9
000045.jpg,2,0.99
000047.jpg,0,0.98
000053.jpg,2,0.95
000054.jpg,0,0.98
000055.jpg,0,0.92
000060.jpg,0,0.99
000064.jpg,0,0.98
000065.jpg,0,0.92
000067.jpg,0,0.99
000070.jpg,0,0.99
000074.jpg,1,0.97
000078.jpg,1,0.95
000086.jpg,0,0.98
000087.jpg,0,0.95
000093.jpg,0,0.97
000095.jpg,0,0.87
000096.jpg,1,0.85
000098.jpg,0,0.98
000111.jpg,0,0.97
000115.jpg,0,0.9
000116.jpg,0,0.96
000118.jpg,0,0.99
000120.jpg,1,0.94
000154.jpg,2,0.94
000156.jpg,1,0.94
000157.jpg,2,0.97
000166.jpg,1,0.99
000167.jpg,1,0.94
000170.jpg,0,0.93
000172.jpg,1,0.97
000179.jpg,0,0.99
000184.jpg,0,0.97
000192.jpg,0,0.99
000193.jpg,0,0.98
000195.jpg,0,0.98
000200.jpg,0,0.98
000201.jpg,0,0.99
000206.jpg,0,0.98
000207.jpg,1,0.83
000214.jpg,0,0.97
000215.jpg,2,0.97
000216.jpg,0,0.88
000220.jpg,0,0.98
000222.jpg,0,0.98
000229.jpg,0,0.98
000231.jpg,2,0.81
000234.jpg,0,0.97
000237.jpg,0,0.94
000238.jpg,0,0.86
000242.jpg,1,0.8
000250.jpg,0,0.99
000251.jpg,0,0.95
000265.jpg,1,0.91
000284.jpg,0,0.96
000285.jpg,1,0.94
000290.jpg,0,0.98
000291.jpg,0,0.98
000297.jpg,0,0.91
000299.jpg,1,0.91
000305.jpg,2,0.97
000306.jpg,2,0.82
000307.jpg,0,0.95
000309.jpg,0,0.94
000311.jpg,0,0.94
000314.jpg,0,0.99
000319.jpg,2,0.9
000320.jpg,0,0.86
000324.jpg,0,0.93
000328.jpg,0,0.84
000330.jpg,0,0.83
000341.jpg,2,0.97
000345.jpg,2,0.95
000348.jpg,1,0.98
000349.jpg,0,0.97
000355.jpg,0,0.98
000356.jpg,0,0.96
000358.jpg,2,0.93
000360.jpg,0,0.81
000367.jpg,0,0.9
000375.jpg,0,0.89
000378.jpg,2,0.97
000380.jpg,1,0.95
000381.jpg,0,0.97
000396.jpg,1,0.89
000397.jpg,0,0.98
000404.jpg,0,0.95
000412.jpg,0,0.99
000418.jpg,0,0.99
000423.jpg,0,0.91
000431.jpg,0,0.97
000435.jpg,0,0.94
000436.jpg,0,0.98
000441.jpg,0,0.9
000443.jpg,0,0.89
000445.jpg,0,0.99
000449.jpg,0,0.89
000450.jpg,2,0.96
000465.jpg,0,0.86
000469.jpg,2,0.99
000474.jpg,0,0.95
000480.jpg,1,0.98
000481.jpg,2,0.98
000483.jpg,1,0.97
000484.jpg,0,0.83
000488.jpg,1,0.99
000490.jpg,1,0.99
000492.jpg,0,0.85
000499.jpg,0,0.97
000500.jpg,2,0.94
000504.jpg,0,0.9
000508.jpg,0,0.98
