image_name,single_word,score
000002.jpg,5614444444,0.016
000002.jpg,green,0.997
000002.jpg,cab,0.999
000015.jpg,whon,0.436
000016.jpg,cardinal,1
000063.jpg,one,1
000073.jpg,trip,0.003
000073.jpg,drated,0.928
000073.jpg,dedi,1
000073.jpg,ivision,0.668
000073.jpg,winwarturexpress,0.135
000073.jpg,com,0.999
000089.jpg,a,0.377
000093.jpg,conlon,0.708
000093.jpg,dusuous,0.052
000093.jpg,10wn,0.6
000093.jpg,1122,0.613
000101.jpg,is,0.621
000107.jpg,sipe,0.788
000119.jpg,airgas,0.945
000123.jpg,this,1
000123.jpg,sipe,0.501
000125.jpg,som,0.028
000129.jpg,jule,0.985
000129.jpg,the,1
000158.jpg,one,0.507
000163.jpg,0,0.331
000186.jpg,soare,0.158
000216.jpg,nixx,0.083
000228.jpg,only,1
000242.jpg,ibhunt,0.632
000242.jpg,intermodal,1
000242.jpg,only,1
000242.jpg,top,1
000242.jpg,lift,0.999
000242.jpg,only,1
000242.jpg,top,1
000242.jpg,lift,1
000250.jpg,servpro,0.92
000250.jpg,of,0.999
000250.jpg,dubuque,0.426
000250.jpg,a,0.606
000250.jpg,water,0.518
000250.jpg,usa,0.064
000250.jpg,and,0.97
000250.jpg,cisenup,0.099
000250.jpg,upan,0.094
000250.jpg,a,0.682
000250.jpg,hentoratic,0.049
000262.jpg,jeep,0.931
000282.jpg,unout,0.051
000291.jpg,airgas,0.953
000294.jpg,josse,0.035
000299.jpg,a,0.919
000299.jpg,o,0.779
000299.jpg,and,0.3
000305.jpg,this,1
000305.jpg,side,0.997
000306.jpg,stu,0.065
000322.jpg,lone,0.338
000328.jpg,wrestoration,0.998
000328.jpg,5635434887,0.605
000340.jpg,poor,0.252
000350.jpg,worrywhe,0.003
000350.jpg,guorasms,0.024
000350.jpg,realyin,0.033
000350.jpg,plansum,0.033
000350.jpg,400,0.196
000350.jpg,400,0.04
000352.jpg,wrestoration,0.965
000352.jpg,563543,0.976
000352.jpg,4887,0.998
000369.jpg,stop,0.996
000372.jpg,new,0.576
000372.jpg,was,0.077
000372.jpg,center,1
000385.jpg,and,0.154
000399.jpg,homecare,0.798
000404.jpg,a,0.337
000417.jpg,the,0.153
000421.jpg,sucrsor,0.049
000436.jpg,that,0.045
000439.jpg,stop,0.097
000444.jpg,uctric,0.096
000444.jpg,of,0.433
000444.jpg,scisera2s3,0
000444.jpg,ade,0.039
000444.jpg,worn,0.049
000444.jpg,elicaubuque,0.167
000444.jpg,for,0.746
000445.jpg,side,0.999
000454.jpg,the,0.688
000454.jpg,class,0.117
000493.jpg,constitute,0
000494.jpg,stop,1
000496.jpg,ones,0.605
000517.jpg,hune,0.023
000522.jpg,hivion,0.002
000522.jpg,aisies,0.831
000522.jpg,onling,0.766
000548.jpg,a,0.459
000548.jpg,o,0.6
000548.jpg,to,0.607
000552.jpg,hoved,0.388
000554.jpg,i,0.399
000577.jpg,stup,0.33
000594.jpg,stop,0.96
000611.jpg,stop,1
000620.jpg,conlon,0.718
000620.jpg,1722,0.106
000629.jpg,have,0.114
000644.jpg,top,0.998
000647.jpg,268,0.998
000647.jpg,range,0.826
000647.jpg,caution,0.998
000647.jpg,the,1
000647.jpg,jule,1
000653.jpg,t,0.725
000653.jpg,one,0.684
000660.jpg,axa,0.265
000684.jpg,t,0.47
000684.jpg,only,1
000721.jpg,voreso,0.099
000752.jpg,jim,0.131
000803.jpg,also,0.061
000823.jpg,onax,0.086
000827.jpg,175311,0.04
000827.jpg,cn,0.995
000827.jpg,uscore,0.35
000827.jpg,apless,0.043
000829.jpg,savannod,0.021
000853.jpg,blattner,0.979
000853.jpg,energy,0.6
000865.jpg,midwes,0.992
000865.jpg,600660166b,0.002
000869.jpg,selenable,0
000886.jpg,apr,0.625
000896.jpg,the,0.224
000901.jpg,4954444,0.962
000901.jpg,563,0.999
000901.jpg,green,0.571
000901.jpg,for,0.579
000901.jpg,7141110,0.002
000901.jpg,cab,1
000916.jpg,2659,0.339
000940.jpg,alryas,0.413
000958.jpg,to,0.367
000961.jpg,center,0.959
000997.jpg,only,1
001039.jpg,172133,0.183
001039.jpg,cn,0.967
001044.jpg,stc,0.787
