image_name,label,score
000001.jpg,1,0.99999964
000002.jpg,1,0.9987685
000003.jpg,1,0.9999392
000004.jpg,3,0.99254096
000005.jpg,1,0.99513334
000006.jpg,1,0.9999478
000007.jpg,1,1
000008.jpg,3,0.9987453
000009.jpg,1,0.9988392
000010.jpg,1,0.99989057
000011.jpg,1,0.99995375
000012.jpg,1,0.9999999
000013.jpg,1,0.9999976
000014.jpg,1,1
000015.jpg,1,0.999974
000016.jpg,0,0.3468368
000017.jpg,3,0.5051519
000018.jpg,1,0.99936694
000019.jpg,1,0.99999785
000020.jpg,1,0.99999106
000021.jpg,1,0.9999999
000022.jpg,1,0.9999913
000023.jpg,1,0.99992526
000024.jpg,1,0.9999409
000025.jpg,1,0.9999839
000026.jpg,1,1
000027.jpg,1,0.96683013
000028.jpg,1,0.99572915
000029.jpg,3,0.7270653
000030.jpg,1,0.9999504
000031.jpg,1,0.9999981
000032.jpg,1,0.999897
000033.jpg,1,0.9973809
000034.jpg,3,0.7245426
000035.jpg,1,0.75739354
000036.jpg,1,0.99999905
000037.jpg,1,0.99999475
000038.jpg,1,0.9999995
000039.jpg,3,0.8445897
000040.jpg,1,0.9982804
000041.jpg,1,0.9999002
000042.jpg,1,0.9986532
000043.jpg,3,0.45106912
000044.jpg,3,0.7078706
000045.jpg,1,0.66464025
000046.jpg,1,1
000047.jpg,1,0.9999963
000048.jpg,1,0.99998987
000049.jpg,1,1
000050.jpg,1,1
000051.jpg,1,0.9999995
000052.jpg,1,0.9777393
000053.jpg,1,0.97151303
000054.jpg,1,0.9999993
000055.jpg,1,0.6571607
000056.jpg,1,0.99990594
000057.jpg,3,0.97538066
000058.jpg,1,0.99999976
000059.jpg,1,1
000060.jpg,1,0.99943036
000061.jpg,1,0.99999917
000062.jpg,1,0.9999976
000063.jpg,3,0.83557415
000064.jpg,1,0.9997292
000065.jpg,1,1
000066.jpg,1,0.9999993
000067.jpg,1,0.6363982
000068.jpg,1,1
000069.jpg,1,0.9999999
000070.jpg,1,0.99942243
000071.jpg,1,0.99997807
000072.jpg,1,1
000073.jpg,3,0.5043782
000074.jpg,1,1
000075.jpg,1,0.9999957
000076.jpg,1,0.9999957
000077.jpg,1,0.5595717
000078.jpg,1,0.99966145
000079.jpg,1,0.921449
000080.jpg,1,0.8318343
000081.jpg,1,0.9723407
000082.jpg,1,0.94720346
000083.jpg,1,0.8142005
000084.jpg,3,0.6019274
000085.jpg,1,0.9959371
000086.jpg,1,0.9982905
000087.jpg,1,0.9838569
000088.jpg,1,0.9996946
000089.jpg,1,1
000090.jpg,1,0.9833695
000091.jpg,1,0.9974267
000092.jpg,1,1
000093.jpg,3,0.84270513
000094.jpg,3,0.97938377
000095.jpg,1,0.69475055
000096.jpg,1,0.9999957
000097.jpg,3,0.98369145
000098.jpg,1,1
000099.jpg,1,0.99999964
000100.jpg,1,0.9962967
000101.jpg,1,0.9999999
000102.jpg,1,0.954799
000103.jpg,1,1
000104.jpg,3,0.9139054
000105.jpg,1,1
000106.jpg,1,0.99970657
000107.jpg,1,0.9998419
000108.jpg,1,1
000109.jpg,3,0.8142455
000110.jpg,1,1
000111.jpg,1,1
000112.jpg,1,1
000113.jpg,1,0.44661587
000114.jpg,1,0.9999919
000115.jpg,1,0.9965647
000116.jpg,1,0.99999976
000117.jpg,1,0.9999995
000118.jpg,1,0.9999883
000119.jpg,3,0.9693485
000120.jpg,1,1
000121.jpg,1,0.9999962
000122.jpg,3,0.99764746
000123.jpg,1,0.52377194
000124.jpg,1,0.9999999
000125.jpg,3,0.99856347
000126.jpg,3,0.88464355
000127.jpg,1,0.9990758
000128.jpg,1,1
000129.jpg,0,0.27003562
000130.jpg,3,0.98571235
000131.jpg,3,0.99118596
000132.jpg,1,0.49996817
000133.jpg,1,0.754149
000134.jpg,1,0.99734014
000135.jpg,1,0.9998739
000136.jpg,3,0.9824134
000137.jpg,1,1
000138.jpg,1,0.9999993
000139.jpg,1,1
000140.jpg,1,0.99850297
000141.jpg,1,0.9999993
