image_name,label,score
000002.jpg,4,1
000006.jpg,0,0.79768
000007.jpg,5,0.80071
000010.jpg,3,0.73137
000016.jpg,5,0.9999
000020.jpg,0,0.53477
000028.jpg,3,0.97595
000032.jpg,3,0.98059
000036.jpg,1,0.98883
000037.jpg,2,0.95955
000039.jpg,0,0.49183
000051.jpg,0,0.54837
000052.jpg,0,0.64327
000059.jpg,2,0.52991
000063.jpg,2,0.72931
000065.jpg,2,0.92391
000066.jpg,0,0.94094
000067.jpg,0,0.97488
000068.jpg,2,0.71874
000069.jpg,4,0.8617
000071.jpg,3,0.88858
000075.jpg,0,0.30342
000078.jpg,4,0.4919
000079.jpg,4,1
000091.jpg,3,0.8839
000092.jpg,0,0.57345
000094.jpg,0,0.62623
000096.jpg,3,0.40673
000098.jpg,1,0.63541
000099.jpg,2,0.93715
000100.jpg,0,0.99356
000102.jpg,1,0.48141
000104.jpg,5,0.98371
000105.jpg,0,0.6876
000107.jpg,0,0.48478
000109.jpg,5,0.99976
000112.jpg,5,0.74266
000113.jpg,5,0.9998
000119.jpg,5,0.96973
000125.jpg,1,0.94844
000126.jpg,0,0.89155
000127.jpg,5,0.99844
000130.jpg,0,0.87482
000131.jpg,3,0.61524
000142.jpg,5,0.99987
000144.jpg,0,0.36853
000148.jpg,1,0.98626
000156.jpg,3,0.85911
000157.jpg,5,0.9928
000162.jpg,3,0.6879
000166.jpg,3,0.36517
000167.jpg,3,0.49527
000172.jpg,4,0.99993
000178.jpg,3,0.9627
000184.jpg,3,0.38047
000187.jpg,0,0.49172
000188.jpg,0,0.99416
000205.jpg,2,0.97946
000209.jpg,0,0.79165
000214.jpg,1,0.74015
000216.jpg,5,0.86573
000220.jpg,0,0.68613
000225.jpg,1,0.80967
000226.jpg,5,0.99684
000227.jpg,5,0.98538
000230.jpg,3,0.45601
000243.jpg,1,0.66392
000246.jpg,3,0.97442
000247.jpg,3,0.99614
000252.jpg,3,0.64448
000254.jpg,5,0.84274
000256.jpg,0,0.58353
000257.jpg,2,0.89033
000263.jpg,1,0.67764
000265.jpg,0,0.82285
000270.jpg,0,0.27241
000271.jpg,3,0.99587
000276.jpg,3,0.9315
000279.jpg,0,0.92999
000299.jpg,3,0.99932
000301.jpg,3,0.98131
000302.jpg,0,0.84701
000309.jpg,0,0.50815
000313.jpg,3,0.96795
000316.jpg,2,0.85656
000320.jpg,3,0.48618
000324.jpg,2,0.99061
000328.jpg,0,0.36859
000332.jpg,1,0.54466
000336.jpg,3,0.99362
000342.jpg,2,0.94297
000344.jpg,0,0.95475
000352.jpg,0,0.32434
000354.jpg,1,0.59641
000356.jpg,3,0.80516
000357.jpg,1,0.74887
000362.jpg,2,0.55662
000363.jpg,0,0.99291
000364.jpg,2,0.93697
000367.jpg,0,0.97976
000372.jpg,0,0.99727
000375.jpg,3,0.37294
000379.jpg,3,0.96135
000385.jpg,5,0.85673
000387.jpg,3,0.70939
000400.jpg,3,0.99428
000405.jpg,2,0.3022
000408.jpg,0,0.98379
000412.jpg,1,0.93968
000416.jpg,3,0.96265
000423.jpg,2,0.73141
000425.jpg,3,0.99666
000429.jpg,2,0.9756
000432.jpg,1,0.84281
000438.jpg,3,0.903
000440.jpg,1,0.98509
000443.jpg,5,0.75962
000445.jpg,3,0.78479
000446.jpg,3,0.9913
000447.jpg,0,0.7203
000448.jpg,3,0.57811
000449.jpg,5,0.93675
000450.jpg,0,0.92072
000461.jpg,5,0.9996
000466.jpg,3,0.98225
000469.jpg,0,0.81394
000470.jpg,3,0.58784
000475.jpg,3,0.97947
000481.jpg,3,0.9789
000488.jpg,3,0.99665
000493.jpg,3,0.82716
000494.jpg,5,0.97723
000496.jpg,5,0.99982
000505.jpg,3,0.43198
000506.jpg,3,0.97831
000513.jpg,3,0.99221
000516.jpg,3,0.99098
000519.jpg,2,0.8231
000520.jpg,0,0.99496
000521.jpg,3,0.99792
000524.jpg,3,0.98052
000525.jpg,2,0.62945
000529.jpg,0,0.69951
000533.jpg,0,0.99653
000535.jpg,5,0.62216
000537.jpg,0,0.78128
000538.jpg,3,0.78533
000539.jpg,0,0.95458
000541.jpg,1,0.69257
000542.jpg,4,1
000543.jpg,3,0.98
000548.jpg,3,0.93487
000551.jpg,3,0.99348
000561.jpg,0,0.54657
000569.jpg,3,0.99713
000570.jpg,2,0.8079
000574.jpg,0,0.98961
000575.jpg,1,0.54779
000589.jpg,3,0.94789
000590.jpg,1,0.77131
000592.jpg,3,0.59455
000598.jpg,1,0.7341
000600.jpg,0,0.41012
000609.jpg,0,0.62265
000614.jpg,0,0.99917
000619.jpg,5,0.98929
000625.jpg,0,0.74396
000627.jpg,0,0.42562
000633.jpg,3,0.41585
000638.jpg,0,0.93895
000639.jpg,3,0.97511
000643.jpg,2,0.86933
000645.jpg,2,0.76427
000648.jpg,5,0.6071
000649.jpg,0,0.72425
000650.jpg,0,0.40369
000651.jpg,5,0.93459
000652.jpg,5,0.46711
000657.jpg,3,0.93133
000661.jpg,0,0.83399
000664.jpg,3,0.95818
000673.jpg,0,0.67494
000677.jpg,3,0.9562
000680.jpg,3,0.48589
000681.jpg,2,0.97857
000687.jpg,2,0.94183
000691.jpg,2,0.48906
000696.jpg,0,0.47277
000704.jpg,1,0.99128
000709.jpg,3,0.99902
000711.jpg,5,0.82754
000715.jpg,3,0.97823
000723.jpg,1,0.9546
000728.jpg,0,0.98766
000731.jpg,1,0.96038
000734.jpg,4,0.98573
000735.jpg,4,1
000740.jpg,5,0.46003
000743.jpg,0,0.9583
000744.jpg,4,0.799
000745.jpg,2,0.98274
000751.jpg,2,0.97709
000760.jpg,3,0.99855
000761.jpg,1,0.95705
000764.jpg,0,0.88291
000766.jpg,4,0.97848
000768.jpg,0,0.95282
000769.jpg,3,0.8327
000775.jpg,3,0.6934
000780.jpg,3,0.98278
000782.jpg,1,0.9686
000784.jpg,2,0.98233
000795.jpg,5,0.90218
000796.jpg,3,0.65999
000802.jpg,0,0.53412
000805.jpg,0,0.41231
000806.jpg,3,0.68229
000807.jpg,2,0.92225
000810.jpg,0,0.98138
000811.jpg,3,0.9812
000812.jpg,1,0.8637
000813.jpg,5,0.94067
000821.jpg,3,0.93319
000822.jpg,3,0.99931
000827.jpg,5,0.99993
000836.jpg,0,0.98389
000843.jpg,3,0.75752
000844.jpg,0,0.59949
000846.jpg,3,0.78012
000848.jpg,3,0.84279
000850.jpg,4,1
000853.jpg,1,0.95911
000854.jpg,5,0.99616
000856.jpg,0,0.97457
000865.jpg,5,0.69494
000873.jpg,0,0.3985
000875.jpg,5,0.99867
000878.jpg,0,0.91142
000880.jpg,0,0.99604
000881.jpg,4,0.87676
000884.jpg,1,0.66033
000888.jpg,1,0.86484
000896.jpg,5,0.94468
000901.jpg,4,1
000905.jpg,1,0.94156
000911.jpg,3,0.85823
000912.jpg,3,0.98084
000913.jpg,1,0.86649
000920.jpg,5,0.80766
000926.jpg,3,0.99378
000928.jpg,1,0.78823
000936.jpg,1,0.68891
000940.jpg,5,0.98644
000942.jpg,3,0.96594
000950.jpg,5,1
000953.jpg,4,0.63483
000957.jpg,1,0.58451
000961.jpg,0,0.50387
000962.jpg,1,0.47613
000970.jpg,2,0.64911
000982.jpg,0,0.94555
000988.jpg,5,0.44952
000992.jpg,3,0.99629
000996.jpg,3,0.99372
000998.jpg,3,0.98797
000999.jpg,1,0.92019
001000.jpg,0,0.80274
001001.jpg,3,0.91397
001007.jpg,5,0.528
001014.jpg,3,0.97693
001016.jpg,3,0.98745
001017.jpg,5,0.99997
001021.jpg,0,0.99497
001022.jpg,0,0.50266
001036.jpg,5,0.9998
001037.jpg,3,0.97364
001038.jpg,0,0.71025
001039.jpg,0,0.52249
001051.jpg,0,0.99801
