camera_id,vehicle_id
c001,0073
c022,0408
c020,0408
c017,0408
c027,0465
c029,0465
c030,0282
c003,0074
c026,0293
c017,0418
c022,0442
c024,0442
c012,0247
c011,0251
c022,0446
c039,0315
c024,0373
c021,0373
c028,0373
c031,0268
c001,0040
c026,0292
c005,0075
c024,0445
c022,0445
c033,0279
c017,0357
c023,0357
c018,0357
c024,0384
c025,0384
c016,0384
c021,0332
c016,0332
c016,0383
c004,0059
c028,0459
c004,0041
c002,0082
c025,0297
c026,0291
c001,0094
c025,0431
c028,0431
c027,0469
c036,0307
c003,0076
c010,0409
c003,0045
c016,0381
c018,0381
c027,0381
c021,0381
c040,0313
c035,0300
c025,0435
c024,0435
c003,0092
c016,0388
c027,0468
c033,0468
c010,0360
c010,0362
c020,0263
c017,0263
c021,0263
c002,0009
c025,0434
c005,0005
c025,0454
c032,0274
c011,0249
c005,0010
c017,0331
c020,0354
c024,0354
c027,0354
c034,0471
c028,0471
c020,0392
c022,0392
c022,0375
c028,0375
c026,0375
c017,0378
c020,0378
c024,0378
c027,0467
c029,0419
c021,0359
c026,0359
c016,0359
c010,0254
c005,0024
c002,0003
c001,0036
c016,0350
c033,0284
c024,0402
c020,0402
c025,0402
c026,0269
c004,0080
c005,0039
c019,0407
c020,0407
c016,0407
c001,0062
c027,0437
c029,0358
c016,0358
c023,0358
c033,0461
c029,0461
c010,0253
c034,0433
c027,0433
c033,0433
c005,0056
c028,0458
c002,0034
c003,0019
c040,0321
c023,0423
c025,0423
c034,0309
c033,0309
c016,0290
c016,0406
c005,0032
c028,0298
c025,0405
c026,0405
c024,0405
c001,0029
c001,0060
c001,0093
c016,0361
c002,0031
c002,0047
c003,0050
c018,0413
c017,0413
c035,0448
c025,0448
c029,0448
c022,0425
c028,0425
c036,0273
c040,0273
c031,0273
c011,0258
