#vid	box_x1	y1	x2	y2	start_s	offset_s
1	191	182	236	212	67	57
6	139	215	170	233	56	53
11	470	178	490	193	302	292
17	494	85	504	94	106	100
20	437	92	456	103	151	147
22	648	28	654	33	327	310
24	305	35	322	53	196	186
26	610	25	640	45	166	105
27	109	175	138	193	13	0
34	380	60	430	80	280	255
35	620	180	720	240	300	270
40	668	123	705	159	99	90
46	300	100	380	130	155	128
48	660	130	700	150	144	128
51	446	129	491	161	95	90
68	640	350	760	400	265	210
71	287	209	299	217	50	30
85	184	39	201	53	252	242
96	459	229	467	233	166	156
